seasonStartYear,awayTeam,pointsAway,homeTeam,pointsHome,attendance,notes,startET,Arena,datetime,isRegular,game_id,homeTeam_abb,awayTeam_abb,MatchUp,bs_url,pbp_url
2023,Charlotte Hornets,104.0,Miami Heat,115.0,19600.0,,7:30p,Kaseya Center,2023-12-13,1,345,MIA,CHA,CHA@MIA,https://www.basketball-reference.com/boxscores/202312130MIA.html,https://www.basketball-reference.com/boxscores/pbp/202312130MIA.html
2023,New Orleans Pelicans,142.0,Washington Wizards,122.0,14080.0,,7:00p,Capital One Arena,2023-12-13,1,346,WAS,NOP,NOP@WAS,https://www.basketball-reference.com/boxscores/202312130WAS.html,https://www.basketball-reference.com/boxscores/pbp/202312130WAS.html
2023,Philadelphia 76ers,129.0,Detroit Pistons,111.0,16749.0,,7:00p,Little Caesars Arena,2023-12-13,1,347,DET,PHI,PHI@DET,https://www.basketball-reference.com/boxscores/202312130DET.html,https://www.basketball-reference.com/boxscores/pbp/202312130DET.html
2023,Atlanta Hawks,128.0,Toronto Raptors,135.0,19423.0,,7:30p,Scotiabank Arena,2023-12-13,1,348,TOR,ATL,ATL@TOR,https://www.basketball-reference.com/boxscores/202312130TOR.html,https://www.basketball-reference.com/boxscores/pbp/202312130TOR.html
2023,Memphis Grizzlies,104.0,Houston Rockets,117.0,16813.0,,8:00p,Toyota Center,2023-12-13,1,349,HOU,MEM,MEM@HOU,https://www.basketball-reference.com/boxscores/202312130HOU.html,https://www.basketball-reference.com/boxscores/pbp/202312130HOU.html
2023,Cleveland Cavaliers,107.0,Boston Celtics,116.0,19156.0,,7:30p,TD Garden,2023-12-14,1,350,BOS,CLE,CLE@BOS,https://www.basketball-reference.com/boxscores/202312140BOS.html,https://www.basketball-reference.com/boxscores/pbp/202312140BOS.html
2023,Chicago Bulls,124.0,Miami Heat,116.0,19653.0,,7:30p,Kaseya Center,2023-12-14,1,351,MIA,CHI,CHI@MIA,https://www.basketball-reference.com/boxscores/202312140MIA.html,https://www.basketball-reference.com/boxscores/pbp/202312140MIA.html
2023,Minnesota Timberwolves,119.0,Dallas Mavericks,101.0,20177.0,,8:30p,American Airlines Center,2023-12-14,1,352,DAL,MIN,MIN@DAL,https://www.basketball-reference.com/boxscores/202312140DAL.html,https://www.basketball-reference.com/boxscores/pbp/202312140DAL.html
2023,Brooklyn Nets,101.0,Denver Nuggets,124.0,19636.0,,9:00p,Ball Arena,2023-12-14,1,353,DEN,BRK,BRK@DEN,https://www.basketball-reference.com/boxscores/202312140DEN.html,https://www.basketball-reference.com/boxscores/pbp/202312140DEN.html
2023,Utah Jazz,122.0,Portland Trail Blazers,114.0,17842.0,,10:00p,Moda Center,2023-12-14,1,354,POR,UTA,UTA@POR,https://www.basketball-reference.com/boxscores/202312140POR.html,https://www.basketball-reference.com/boxscores/pbp/202312140POR.html
